anime,Boku no Hero Academia 5th Season,Tokyo Revengers,Fumetsu no Anata e,"Ijiranaide, Nagatoro-san",Hige wo Soru. Soshite Joshikousei wo Hirou.,86,Vivy: Fluorite Eye's Song,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,Fruits Basket: The Final,"Sentouin, Hakenshimasu!","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",Tensura Nikki: Tensei shitara Slime Datta Ken,Odd Taxi,Shaman King (2021),Osananajimi ga Zettai ni Makenai Love Comedy,Mairimashita! Iruma-kun 2nd Season,Koi to Yobu ni wa Kimochi Warui,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Edens Zero,Zombieland Saga: Revenge,Yuukoku no Moriarty 2nd Season,Nomad: Megalo Box 2,Shadows House,Seijo no Maryoku wa Bannou Desu,Mashiro no Oto,Mars Red,SSSS.Dynazenon,Shakunetsu Kabaddi,Jouran: The Princess of Snow and Blood,Super Cub,Bakuten!!,Bishounen Tanteidan,Subarashiki Kono Sekai The Animation,Godzilla: S.P,"Dragon, Ie wo Kau.",Seven Knights Revolution: Eiyuu no Keishousha,Sayonara Watashi no Cramer,Yakunara Mug Cup mo,Kuro Gal ni Natta kara Shinyuu to shitemita.,Blue Reflection Ray,Cestvs: The Roman Fighter,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,Cardfight!! Vanguard: overDress,Battle Athletess Daiundoukai ReSTART!,Yuuki Yuuna wa Yuusha de Aru Churutto!,Itazuraguma no Gloomy,Dinosaur Biyori,Youkai Watch ♪,Shikaru Neko,Mazica Party,Mewkledreamy Mix!,Shinkansen Henkei Robo Shinkalion Z the Animation,Duel Masters King!,Uchuu Nanchara Kotetsu-kun,Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season,Utau Soccer Panda Mifanda,Iii Icecrin,Hyper Positive Yogoremon,Dosukoi Sushi Zumou,Oshiri Tantei 5th Season,Washimo 9th Season,One Piece,Boruto: Naruto Next Generations,Nanatsu no Taizai: Fundo no Shinpan,Detective Conan,"Kumo Desu ga, Nani ka?",Crayon Shin-chan,Kingdom 3rd Season,Pokemon (2019),Dragon Quest: Dai no Daibouken (2020),Digimon Adventure:,Back Arrow,Doraemon (2005),Yu☆Gi☆Oh!: Sevens,Maiko-san Chi no Makanai-san,Tropical-Rouge! Precure,Sazae-san,Nintama Rantarou,Rebirth,Chibi Maruko-chan (1995),D4DJ Petit Mix,Tokyo Gambo,Aikatsu Planet!,Kiratto Pri☆chan Season 3,Ojarumaru,Neko Konogoro,Neko no Robu,Fushigi Dagashiya: Zenitendou,Knyacki!,Aware! Meisaku-kun,Hanakappa,Kirin the Noop,Shimajirou no Wow!,Manul no Yuube,Gohan Kaijuu Pap,Yowamushi Monsters,Norimono Man: Mobile Land no Car-kun,Robot Pulta,Liv & Bell,Konigiri-kun,Beads no Mori no Rabi,Fuwafuwa Hour: Pui Pui & Muu Muu,Keito no Yousei: Knit to Wool,Unicorn no Kyupi,Pakkororin,Reizouko no Tsukenosuke!,Onigiri ni Naritai Cogimyun,Pororo Donghwanala,Gokushufudou,Shuumatsu no Walküre,Shiguang Dailiren,Yasuke,Mini Dragon,Youjo Senki: Sabaku no Pasta Daisakusen,Hetalia World★Stars,Eden (ONA),Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin,Etotama: Nyankyaku Banrai,Yoru no Kuni,Chibi Revenger,Artiswitch,Hololive Alternative,Daomu Biji Zhi Qinling Shen Shu,Liang Bu Yi,Wanmei Shijie,Celia-sensei no Wakuwaku Magical Kyoushitsu,Douluo Dalu: Shan Yu Yu Lai,Shi Yi Chang An: Mingyue Jishi You Er,Mi Bao Zhi Guo,Zhen Hun Jie: Bei Luo Shi Men Pian Part 2,Beyblade Burst Dynamite Battle,Wan Jie Du Zun,SD Gundam World Heroes,Blue Reflection Ray!,Wu Shang Shen Di 2nd Season,Mignon,Juan Siliang,Li Linke de Xiao Guaner,Kuang Shen Mo Zun,Xinghe Zhizun,Wan Jie Xian Zong 5th Season,Hua Jianghu: Huan Shi Men Sheng 2nd Season,Zhihao Beipan Diqiule,Aoi Hane Mitsuketa! Sagashite Miyou Mijika na Tori-tachi,Tai Yi Xian Mo Lu Zhi Ling Fei Ji IV,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen OVA,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,Uchi no Otouto Maji de Dekain Dakedo Mi ni Konai?,Oyasumi Sex,J* Fuuzoku Gakuensai,Sakusei Byoutou The Animation,Eroge de Subete wa Kaiketsu Dekiru! The Animation,Netokano,Netoshisu,Bitch na Inane-sama,Kazoku: Haha to Shimai no Kyousei,Shidoukan Day After The Animation,Karada de Kaiketsu Hyakkiya Tantei Jimusho,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram,Shika no Ou: Yuna to Yakusoku no Tabi,Detective Conan Movie 24: The Scarlet Bullet,Sayonara Watashi no Cramer Movie: First Touch,Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari,BanG Dream! Movie: Episode of Roselia - I: Yakusoku,Shoujo☆Kageki Revue Starlight Movie,"""Uchuu Senkan Yamato"" to Iu Jidai: Seireki 2202-nen no Sentaku",Gyokou no Nikuko-chan,Sore Ike! Anpanman: Fuwa Fuwa Fuwaly to Kumo no Kuni,Xiyou Ji: Zai Shi Yao Wang,Wonder Egg Priority Special,86 Special Edition: Senya ni Akaku Hinageshi no Saku,Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,Jaku-Chara Tomozaki-kun Specials,Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing,"Dragon Quest: Dai no Daibouken (2020): Bouken no Kiseki, Kore kara no Tabiji",Ani x Para: Anata no Hero wa Dare desu ka,Obey Me!: Makai Dai Ryokou!,Ensemble Stars!! 5th Anniversary Animation PV,JoJo no Kimyou na Bouken (TV),Shingeki no Kyojin Season 3 Part 2,"Komi-san wa, Comyushou desu.",Hitoribocchi no Marumaru Seikatsu,Handa-kun,Koe no Katachi,Koutetsujou no Kabaneri,Code Geass: Hangyaku no Lelouch R2,Vinland Saga
Blue Reflection Ray,1.8506,1.6364,0.9864,1.5693,0.975,1.7999999999999998,1.9619,1.5438999999999998,0.9893,1.7248,1.7436,1.7305000000000001,1.9832,1.6364,1.6469,1.7336,1.6968999999999999,1.7259,1.6269,1.7092999999999998,1.9614,1.835,1.7002,1.7217,1.6943,1.8114,1.9739,1.8568,1.8114,1.8493,1.9811999999999999,1.9562,1.8011,1.982,1.6968999999999999,1.7436,1.7417,1.8493,1.7999999999999998,0.0,1.7417,1.8725999999999998,1.8326,1.7805,1.6393,1.8369,1.8493,1.7092999999999998,1.8493,1.8369,1.6968999999999999,2.2739,1.6269,1.8369,1.6968999999999999,1.8493,1.9764,1.8369,1.8369,1.7436,1.756,1.6762000000000001,1.8076,1.7064,1.7431999999999999,1.6644,1.7436,1.9654,1.6226,1.7328999999999999,1.6269,1.8601999999999999,1.8601999999999999,1.8601999999999999,1.756,1.8401999999999998,1.7092999999999998,1.8369,1.7092999999999998,1.7092999999999998,1.8369,1.8493,1.8493,1.6975,1.5569,1.8369,1.7092999999999998,2.2561999999999998,1.7436,1.8369,1.8369,1.7531,1.5569,1.8493,1.8601999999999999,inf,1.7092999999999998,1.6968999999999999,1.7531,inf,inf,1.8369,1.8369,1.8369,inf,1.8369,1.8369,1.6968999999999999,1.5621999999999998,1.6283,1.5197,1.8601999999999999,1.8369,1.9583,1.8369,1.8769,1.7417,1.7311,1.8369,1.8369,1.7092999999999998,inf,1.6364,1.6968999999999999,1.7436,1.6669,1.6269,1.625,1.8769,1.8114,1.8018999999999998,1.8369,2.6155,1.8369,1.7064,1.5083,1.8601999999999999,1.8725999999999998,1.8369,1.8601999999999999,1.7436,1.625,1.625,1.8369,1.7436,1.6825999999999999,0.9769,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.8464,1.7436,1.7826,1.7417,1.8114,2.8159,inf,1.7999999999999998,1.625,1.6968999999999999,1.8601999999999999,1.7417,1.7999999999999998,1.6269,1.245,2.2619,1.7436,2.2811999999999997,1.6968999999999999,inf,1.6236000000000002,1.835,1.7016,1.7092999999999998,1.6785,1.625,1.7531,1.7999999999999998,1.6364
Cestvs: The Roman Fighter,0.7473,0.5333,0.825,1.4632999999999998,0.7667,0.5333,0.795,1.462,0.8833,0.825,1.335,1.335,1.4645000000000001,1.3618000000000001,1.5003,1.3728,1.5003,0.825,0.9943,1.3582999999999998,0.9875,0.65,1.3582999999999998,1.475,0.7667,0.7667,0.7667,1.4888,0.7667,0.9903,1.4092,1.4653,0.7667,0.825,1.3424999999999998,0.825,0.7667,1.2903,1.475,1.7417,0.0,0.7667,1.2982,0.8833,0.86,1.2982,1.2903,1.3582999999999998,1.2903,1.3876,1.3268,0.7667,0.86,1.2964,1.3268,1.2903,1.5231,1.2982,1.2982,1.3603,1.3881000000000001,0.7178,0.7565,0.8517,0.9976,0.8833,1.5083,0.6389,0.86,0.825,0.86,0.757,1.3485,0.7667,0.98,0.7667,1.275,0.9982,1.275,1.275,1.2982,1.2903,1.2903,0.9921,1.2971,1.2982,1.275,1.4653,0.825,1.2982,1.2982,1.2685,1.2971,1.2903,0.7667,inf,1.275,1.3268,1.2685,inf,inf,1.407,1.407,1.407,inf,1.2982,1.407,1.3268,1.4562,0.5333,0.7667,0.7667,1.2982,0.65,1.2964,1.3881000000000001,0.7667,0.825,1.407,1.2982,1.3582999999999998,inf,1.3618000000000001,1.5003,0.825,1.3283,0.86,1.4167,1.3639999999999999,0.7667,0.8833,1.407,0.9812,1.2982,0.86,0.825,0.7667,1.5133,1.407,0.7667,0.825,0.86,0.86,1.407,0.825,1.495,1.4018000000000002,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.825,0.825,0.6403,1.4816,0.7667,2.2815,inf,0.5333,0.65,1.3582999999999998,0.7667,0.7667,0.5333,0.86,0.7667,0.825,0.825,1.4167,1.3582999999999998,inf,0.8175,0.644,0.975,1.275,1.275,0.6385,0.7123,0.5281,0.5018
Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu,0.7667,0.825,1.4622,0.825,1.5218,0.825,0.825,1.4417,0.8833,0.825,0.825,0.825,1.5917,1.4693999999999998,1.3483,1.4649999999999999,1.3582999999999998,0.825,1.4313,1.5184000000000002,1.6306,0.86,0.7667,0.825,0.7551,0.7667,0.7667,1.5152,0.7667,0.65,1.635,1.5917,0.7667,0.825,1.3424999999999998,0.825,1.51,0.65,0.975,1.8725999999999998,0.7667,0.0,1.4073,0.8833,0.86,1.4167,0.65,1.5334,0.65,1.3973,1.3582999999999998,0.7667,0.86,1.4031,1.51,0.65,1.7537,1.4167,1.4167,1.4632999999999998,0.825,0.8826,0.7667,0.86,1.4613,0.8833,0.825,0.65,0.86,0.825,0.86,0.7667,1.3582999999999998,0.7667,0.825,0.7667,0.7667,1.4084,0.7667,0.7667,1.4031,0.65,0.65,0.7667,1.335,1.4167,0.7667,1.5917,1.335,1.4167,1.4167,1.4167,1.335,0.65,0.7667,inf,0.7667,1.51,1.4167,inf,inf,1.4167,1.4167,1.4167,inf,1.4167,1.4167,1.3582999999999998,0.825,0.825,1.3582999999999998,0.7667,1.4167,0.65,1.4073,0.825,1.5039,0.825,1.4167,1.4167,0.7667,inf,1.475,1.3582999999999998,0.825,1.3283,0.86,1.5917,1.475,0.7667,0.8833,1.4167,1.6393,1.4167,0.86,1.5800999999999998,0.7667,0.7667,1.4167,0.7667,0.825,1.4339,1.5333,1.4167,0.825,1.3582999999999998,1.5057,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.825,0.825,0.86,1.65,0.7667,2.3906,inf,0.825,1.4051,1.3582999999999998,0.7667,1.5039,0.825,0.86,1.5068000000000001,0.825,0.825,1.685,1.3582999999999998,inf,0.825,0.8539,0.7667,0.7667,0.7667,1.4051,0.8833,0.825,0.825
Cardfight!! Vanguard: overDress,0.65,0.9921,1.2864,0.7667,1.2824,1.2889,1.2982,0.756,0.8433,0.7667,0.7444,0.756,1.2847,0.7667,0.65,0.7667,0.65,0.7667,0.825,0.65,0.9893,0.9897,1.3965999999999998,1.2739,1.2889,1.275,0.9793,0.6397,0.9833,1.2906,1.2564000000000002,1.2982,1.2812,1.2948,0.65,1.2786,0.9925,1.2727,1.475,1.8326,1.2982,1.4073,0.0,0.86,0.825,0.3,1.2906,0.65,1.2906,1.285,1.27,0.988,0.825,0.3,0.65,1.2906,0.9885,0.3,0.3,0.7667,0.7667,0.86,0.9961,1.2917,0.7667,0.8497,0.7667,1.2846000000000002,0.821,1.2875,0.825,1.2814999999999999,0.65,1.26,0.7667,1.276,0.65,0.3,0.65,0.65,0.2912,1.277,1.2906,0.65,0.7667,0.3,0.65,1.5334,0.7667,0.3,0.3,1.3,0.7667,1.2906,0.65,inf,0.65,0.65,1.3,inf,inf,1.3,1.3,1.3,inf,0.3,1.3,1.3,0.7667,1.2707,1.4167,1.2896,0.3,1.285,0.3,1.2625,1.3,0.7563,1.3,0.3,1.4073,inf,1.4167,0.65,1.2959999999999998,0.65,1.4009999999999998,1.3,1.4167,1.2832999999999999,0.86,1.3,1.2982,0.3,1.4009999999999998,1.475,1.2896,1.3,1.3,1.2896,1.4062999999999999,1.4867,0.825,1.3,1.2959999999999998,0.65,0.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9893,1.2959999999999998,0.825,0.985,1.2961,0.9833,inf,1.4647000000000001,1.2625,0.65,1.2896,1.3,1.4647000000000001,0.825,1.3952,1.475,1.2959999999999998,1.2897,0.65,inf,0.9932,0.9944,0.65,0.65,0.6406,1.5334,0.9857,1.2847,1.2921
Battle Athletess Daiundoukai ReSTART!,0.72,0.9,0.9,0.9,1.4500000000000002,0.7551,0.7667,0.9,0.9222,0.7436,0.9,0.9,1.3933,0.7667,0.8833,0.8889,0.8833,0.7667,0.65,0.8833,1.4165999999999999,0.65,0.98,0.985,1.4913,0.8833,0.72,0.72,0.8833,1.5157,0.86,1.3933,0.72,0.7667,0.8833,0.7667,0.864,1.499,1.6833,1.7805,0.8833,0.8833,0.86,0.0,0.9125,0.86,1.5157,0.8833,1.5157,1.4643000000000002,0.8833,0.7024,0.65,0.86,0.72,1.5157,1.6414,0.86,0.86,0.9,0.7667,0.6993,0.718,0.8,0.7663,0.6857,0.9,0.86,0.6455,0.7417,0.65,0.8833,0.72,0.8833,0.9,0.8583,0.8833,0.86,0.8833,0.8833,0.86,1.5157,1.5157,0.8833,0.7667,0.86,0.8833,1.3933,0.9,0.86,0.86,0.86,0.7667,1.5157,0.72,inf,0.8833,0.72,0.86,inf,inf,1.4705,1.4705,1.4705,inf,0.86,1.4705,0.8833,0.9,0.9,1.4333,0.8833,0.86,0.8413,0.84,0.9,1.4193,0.7667,1.4705,0.86,1.28,inf,0.9,0.8833,0.7667,0.8833,0.8,1.5333,0.9,0.8833,0.5333,1.4705,1.6978,0.86,0.8,1.52,0.8833,1.4333,1.4705,0.8833,0.9,1.4458,0.8,1.4705,0.7667,0.8667,0.8036,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9,0.7667,0.8,0.8833,0.72,1.8433,inf,0.7667,1.2714,0.8833,0.8833,1.4193,0.7667,0.65,1.4500000000000002,0.7667,0.7667,0.86,0.8833,inf,0.7667,0.906,0.8833,0.8657,0.8833,0.9714,0.9222,0.7667,0.7667
Yuuki Yuuna wa Yuusha de Aru Churutto!,0.86,0.8833,0.8833,0.72,0.86,0.8833,1.451,0.72,0.65,0.72,0.475,0.475,1.4596,0.8833,0.86,0.72,0.86,0.72,0.7667,0.86,1.4647000000000001,0.9,0.86,0.72,0.65,1.3959,1.4165999999999999,0.86,1.4165999999999999,0.825,1.4767000000000001,1.4867,1.3685,1.4656,0.65,0.8833,0.86,0.825,1.4583,1.6393,0.86,0.86,0.825,0.9125,0.0,0.825,0.825,0.86,0.825,0.825,0.86,1.4115,0.7667,0.825,0.86,0.825,0.9769,0.825,0.825,0.72,0.72,0.65,1.3422,0.9,0.8833,0.8,0.72,1.4867,0.7667,0.8833,0.7667,0.8464,0.86,0.86,0.72,0.86,0.65,0.825,0.65,0.65,0.825,0.825,0.825,0.65,0.72,0.825,0.65,1.4867,0.475,0.825,0.825,1.4867,0.72,0.825,0.86,inf,0.65,0.86,1.4867,inf,inf,0.825,0.825,0.825,inf,0.825,0.825,0.86,0.72,0.8833,0.86,0.86,0.825,1.463,0.825,0.72,0.65,0.72,0.825,0.825,0.86,inf,1.5333,0.86,0.8833,0.65,0.9,1.4867,0.8833,1.4165999999999999,0.9125,0.825,1.6364,0.825,0.9,0.8833,0.86,0.86,0.825,0.86,0.8833,0.7667,0.7667,0.825,0.8833,0.86,0.8,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8833,0.8833,0.7667,1.4607,1.37,1.8083,inf,0.8833,0.825,0.65,0.86,0.65,0.8833,0.7667,0.86,1.5333,0.8833,1.51,0.65,inf,1.3643,0.7667,0.65,0.65,0.65,0.825,0.8,0.8833,0.8833
Itazuraguma no Gloomy,0.65,0.9885,1.2864,0.7667,1.2824,1.2889,1.2982,0.7667,0.86,0.7667,0.7667,0.7667,0.9889,0.7667,0.65,0.7667,0.65,0.7667,0.825,0.65,1.2875,1.288,1.4024,1.2739,1.2889,0.975,1.2792999999999999,0.6324,1.275,1.2966,1.2490999999999999,1.2889,1.2812,1.2948,0.65,1.2786,1.2925,1.2727,1.475,1.8369,1.2982,1.4167,0.3,0.86,0.825,0.0,1.3,0.65,1.3,1.285,1.27,1.288,0.825,0.3,0.65,1.3,1.2885,0.3,0.3,0.7667,0.7667,0.8585,1.2797,1.2917,0.7663,0.86,0.7667,1.2846000000000002,0.8202,1.2875,0.825,1.2625,0.65,0.9625,0.7667,1.2625,0.65,0.3,0.65,0.65,0.3,1.2864,1.3,0.65,0.7667,0.3,0.65,1.2889,0.7667,0.3,0.3,1.3,0.7667,1.3,0.65,inf,0.65,0.65,1.3,inf,inf,1.3,1.3,1.3,inf,0.3,1.3,1.3,0.7667,1.2671000000000001,1.4167,1.2625,0.3,1.285,0.3,0.9625,1.3,0.7667,1.3,0.3,1.4167,inf,1.4163000000000001,0.65,1.2952,0.65,1.4002,1.3,1.4167,1.275,0.86,1.3,1.2982,0.3,1.4002,1.475,1.2625,1.3,1.3,1.2625,1.4167,1.4867,0.825,1.3,1.2952,0.65,0.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.2875,1.2952,0.825,1.285,1.4167,1.2832999999999999,inf,1.475,0.9625,0.65,1.2625,1.3,1.475,0.825,1.3952,1.475,1.2952,1.2824,0.65,inf,1.2867,1.2944,0.65,0.65,0.65,1.2625,1.2857,1.2847,1.2921
Dinosaur Biyori,1.2897,1.4679,1.4639,0.7667,1.4167,1.2929,1.475,1.2832999999999999,0.86,1.4031,0.7667,0.7667,1.6414,1.4673,1.29,1.4084,1.3,1.4167,1.2953999999999999,1.28,1.6409,1.4913,0.65,0.7667,0.65,1.4167,1.4167,1.3985,1.4167,0.3,1.285,1.6389,1.4167,1.475,1.2824,1.475,1.4167,0.3,1.625,1.8493,1.2903,0.65,1.2906,1.5157,0.825,1.3,0.0,1.4167,0.3,1.5214,1.5717,1.4167,1.4867,1.2864,1.4167,0.3,1.6375000000000002,1.3,1.3,1.4167,0.7667,1.2971,1.2963,1.51,1.2984,1.2864,0.7667,1.3,1.2956,1.287,1.4867,1.4167,1.3,1.4167,0.7667,1.4167,0.65,1.2917,0.65,0.65,1.2864,0.3,0.3,0.65,1.4167,1.3,0.65,1.9388999999999998,1.2999999999999998,1.3,1.3,1.9463,1.4167,0.3,1.4167,inf,0.65,1.4167,1.9463,inf,inf,1.5334,1.5334,1.5334,inf,1.3,1.5334,1.5917,0.7667,1.4668999999999999,1.4167,1.4167,1.3,1.3,1.3,0.7667,1.4167,1.4067,1.5334,1.3,0.65,inf,1.475,1.3,1.475,1.3,1.4867,1.5334,1.4167,1.4167,1.5333,1.5334,1.2893,1.3,1.51,1.475,1.4167,0.65,1.5334,1.4167,1.4167,1.4867,1.4867,1.5334,1.475,1.3,1.5072,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.2857,1.475,1.5019,1.5917,1.4167,2.2739,inf,1.475,1.3,1.3,1.4167,1.4167,1.475,1.4867,1.4017,1.475,1.475,1.585,1.3,inf,1.2942,1.4822000000000002,0.65,0.65,0.65,1.3,1.2917,1.475,1.2824
Youkai Watch ♪,0.7667,0.825,0.825,0.825,1.42,1.475,1.506,0.825,0.72,0.825,0.825,0.825,1.5203,0.5333,0.7667,0.5333,0.7667,0.825,0.86,0.3,1.5162,1.5252,0.7667,1.3761999999999999,1.4249999999999998,0.7667,1.5223,0.7667,0.7667,1.4167,1.3834,1.5232999999999999,1.3512,1.526,0.7667,1.3227,1.5205,1.28,1.5917,1.7092999999999998,1.3582999999999998,1.5334,0.65,0.8833,0.86,0.65,1.4167,0.0,1.4167,1.2906,1.3582999999999998,1.5245000000000002,0.86,0.65,0.7667,1.4167,1.6385,0.65,0.65,0.825,0.825,0.8833,1.3476,0.86,0.825,0.8833,0.825,1.4013,0.86,1.3145,0.86,1.3319,0.7667,1.3476,0.825,1.3369,0.7667,0.65,0.7667,0.7667,0.65,1.4031,1.4167,0.7667,0.825,0.65,0.7667,1.5917,0.825,0.65,0.65,1.3,0.825,1.4167,0.7667,inf,0.7667,0.7667,1.3,inf,inf,1.3,1.3,1.3,inf,0.65,1.3,1.3582999999999998,0.825,0.825,0.7667,1.3582999999999998,0.65,1.4076,0.65,1.3933,1.3582999999999998,0.825,1.3,0.65,0.7667,inf,0.825,0.7667,1.335,0.7667,1.4165999999999999,1.4167,1.3933,0.7667,0.8833,1.3,1.5226,0.65,0.86,1.4867,1.3582999999999998,1.3582999999999998,1.3,1.3582999999999998,1.3933,1.4165999999999999,0.86,1.3,1.335,0.7667,0.8833,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.825,1.335,0.86,1.5167000000000002,1.3582999999999998,1.6333,inf,1.475,1.4167,0.7667,1.3582999999999998,1.3582999999999998,1.475,0.86,1.4285,1.5917,1.335,1.4167,0.7667,inf,0.825,1.4068,0.7667,0.7667,0.7667,1.4167,0.8833,1.4659,1.3933
Shikaru Neko,1.2897,1.4679,1.4639,0.7667,1.4167,1.2929,1.475,1.2832999999999999,0.86,1.4031,0.7667,0.7667,1.6414,1.4673,1.29,1.4084,1.3,1.4167,1.2953999999999999,1.28,1.6409,1.4913,0.65,0.7667,0.65,1.4167,1.4167,1.3985,1.4167,0.3,1.285,1.6389,1.4167,1.475,1.2824,1.475,1.4167,0.3,1.625,1.8493,1.2903,0.65,1.2906,1.5157,0.825,1.3,0.3,1.4167,0.0,1.5214,1.5717,1.4167,1.4867,1.2864,1.4167,0.3,1.6375000000000002,1.3,1.3,1.4167,0.7667,1.2971,1.2963,1.51,1.2984,1.2864,0.7667,1.3,1.2956,1.287,1.4867,1.4167,1.3,1.4167,0.7667,1.4167,0.65,1.2917,0.65,0.65,1.2864,0.3,0.3,0.65,1.4167,1.3,0.65,1.9388999999999998,1.2999999999999998,1.3,1.3,1.9463,1.4167,0.3,1.4167,inf,0.65,1.4167,1.9463,inf,inf,1.5334,1.5334,1.5334,inf,1.3,1.5334,1.5917,0.7667,1.4668999999999999,1.4167,1.4167,1.3,1.3,1.3,0.7667,1.4167,1.4067,1.5334,1.3,0.65,inf,1.475,1.3,1.475,1.3,1.4867,1.5334,1.4167,1.4167,1.5333,1.5334,1.2893,1.3,1.51,1.475,1.4167,0.65,1.5334,1.4167,1.4167,1.4867,1.4867,1.5334,1.475,1.3,1.5072,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.2857,1.475,1.5019,1.5917,1.4167,2.2739,inf,1.475,1.3,1.3,1.4167,1.4167,1.475,1.4867,1.4017,1.475,1.475,1.585,1.3,inf,1.2942,1.4822000000000002,0.65,0.65,0.65,1.3,1.2917,1.475,1.2824
Mazica Party,0.9909,1.3917000000000002,1.475,0.98,1.4167,1.4556,1.4465,0.7667,1.475,0.7667,0.7667,0.7547,1.5334,0.9912,1.3667,0.7573,1.4024,0.7667,0.8194,1.2806,0.975,0.9885,1.5667,0.7667,0.9893,1.263,1.3973,0.9885,1.275,1.513,1.6052,1.5334,1.288,1.2842,0.6357,0.7667,1.2893,1.5191,1.6267,1.8369,1.3876,1.3973,1.285,1.4643000000000002,0.825,1.285,1.5214,1.2906,1.5214,0.0,0.65,1.3973,0.825,1.285,1.3,1.5214,1.6218,1.285,1.285,0.7667,1.4047,0.8578,0.994,0.825,0.9996,0.86,1.4047,1.2729,0.8208,0.7567,0.8143,0.6306,1.4024,0.65,1.3897,0.65,1.2864,1.2832,1.2864,1.2864,1.285,1.5167000000000002,1.5214,1.2789000000000001,0.7667,1.285,1.2864,1.5334,0.7667,1.285,1.285,1.3,0.7667,1.5214,1.2909,inf,1.2864,1.3,1.3,inf,inf,0.3,0.3,0.3,inf,1.285,0.3,0.65,0.9897,1.2857,1.4167,0.65,1.285,1.2806000000000002,0.985,0.7667,0.65,0.7667,0.3,1.285,1.5667,inf,1.475,1.4024,0.7667,0.65,0.825,1.5334,0.7667,1.275,1.3933,0.3,1.7466,1.285,0.825,1.475,0.65,1.5796999999999999,0.3,0.65,0.7667,0.825,1.4867,0.3,0.7667,1.2889,0.86,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7417,0.7667,1.3991,1.5917,1.29,2.2683,inf,1.4556,1.3,0.65,0.65,0.65,1.4556,0.825,1.4167,1.4556,0.7667,1.6385,0.65,inf,0.9927,0.8191,1.278,0.9864,1.2789000000000001,1.3,0.8525,1.4513,0.9854
Mewkledreamy Mix!,1.2772000000000001,1.3641,0.825,1.3933,0.9625,1.3845,1.3733,0.825,1.4333,0.825,0.825,0.825,1.58,0.825,1.3582999999999998,0.825,1.3582999999999998,0.825,0.65,1.3483,1.6033,1.4165999999999999,1.51,0.805,1.51,1.2743,1.3483,1.3582999999999998,1.3,1.5717,1.5102,1.5226,0.7667,1.3933,0.7667,0.5333,1.5128,1.5717,1.5333,1.6968999999999999,1.3268,1.3582999999999998,1.27,0.8833,0.86,1.27,1.5717,1.3582999999999998,1.5717,0.65,0.0,1.3582999999999998,0.65,1.27,0.7667,1.5717,1.5239,1.27,1.27,0.825,1.37,0.72,0.7646,0.65,0.825,0.72,1.3933,1.2727,0.65,0.5333,0.65,0.7667,1.3,0.7238,1.3933,0.7667,1.3582999999999998,1.2682,1.3582999999999998,1.3582999999999998,1.27,1.5203,1.5717,1.3514,0.5333,1.27,1.3582999999999998,1.58,0.825,1.27,1.27,0.65,0.5333,1.5717,1.3,inf,1.3582999999999998,0.7667,0.65,inf,inf,0.65,0.65,0.65,inf,1.27,0.65,0.3,1.3933,1.3567,1.3582999999999998,0.7667,1.27,0.9727,0.97,0.825,0.7667,0.825,0.65,1.27,1.51,inf,0.825,1.3582999999999998,0.5333,0.7667,0.65,1.475,0.825,1.3,0.8833,0.65,1.7185000000000001,1.27,0.65,1.4958,0.7667,1.63,0.65,0.7667,0.825,0.86,1.4165999999999999,0.65,0.5333,1.3472,0.72,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.825,0.5333,1.362,1.51,0.7667,2.2533,inf,1.3933,1.4167,0.7667,0.7667,0.7667,1.3933,0.65,1.2325,1.3933,0.5333,1.7433,0.7667,inf,0.825,0.86,1.3483,1.3468,1.3396,1.4167,0.8833,1.3833,0.825
